response_id;user_id;group_id;longitudinal_id;run;phase;started;finished;Trust_1;Trust_2;Understanding_1;Understanding_2;Understanding_3;Understanding_4;MentalLoad_1;PerceivedSafety_1;PerceivedSafety_2;PerceivedSafety_3;PerceivedSafety_4;Aesthetics_1;Acceptance_1;AttentionCheck_1;Acceptance_2;TextInput_1
3;5E51FBBC31127D237D48C881;GroupE;GroupE_No;1;exploration;09/04/2023 16:20:15;09/04/2023 16:26:05;3;3;3;4;3;3;16;1;2;3;1;5;5;;5;I just think in the program, the streets were too short to really get an idea of what is going on quickly. I couldn't pay attention to everything at the same time because things seemed to go so quickly. I think going through a tutorial where you are shown with videos would make things easier to understand and prepare the viewer for the program much better than the small photos that did not show everything perfectly clearly.
4;5E51FBBC31127D237D48C881;GroupE;GroupE_No;2;exploitation;09/04/2023 16:28:01;09/04/2023 16:31:35;2;2;3;3;4;2;15;1;3;3;1;5;5;;5;The acceleration seemed abrupt, you can even see the hood of the car change elevation from the fast acceleration. The car knew the person was going to cross the street but did not slow down until it was close to hitting the person.
5;5E51FBBC31127D237D48C881;GroupE;GroupE_No;3;exploitation;09/04/2023 16:32:18;09/04/2023 16:35:56;4;4;4;4;4;3;12;1;3;3;1;5;6;1;5;The turn seems very quick in the rounabout but I think that is because it is far too small to seem realistic. The turn right at the begining is scary as well because it is too small to be realistic.
6;5E51FBBC31127D237D48C881;GroupE;GroupE_No;4;exploitation;09/04/2023 16:36:37;09/04/2023 16:39:36;4;4;4;4;4;3;12;1;3;3;2;5;6;;5;Just same as before. The turns are so small and the road size and turns seem to small to be realistic. Also the car just flies into the roundabout without seeming to yeild which is frightening.
7;5E51FBBC31127D237D48C881;GroupE;GroupE_No;5;exploitation;09/04/2023 16:40:21;09/04/2023 16:44:04;4;4;4;5;4;2;12;1;2;2;2;5;5;;5;In the begining especially, the blue trajectory of the automated vehicle does not line up with where it goes. The red/pink shows where the car intends on going. It is not very clear.
8;5E51FBBC31127D237D48C881;GroupE;GroupE_No;6;exploitation;09/04/2023 16:44:45;09/04/2023 16:47:54;4;4;2;3;4;1;10;1;3;2;3;5;5;;5;Trajectory is still off. Hopefully my answers this time help that. It is hard to tell what the car is going to do next. It never says its going to take a right turn into the roundabout, it actually looks like it will go the opposite direction.
9;5E51FBBC31127D237D48C881;GroupE;GroupE_No;7;exploitation;09/04/2023 16:48:39;09/04/2023 16:53:20;4;3;3;3;4;1;10;0;3;1;3;5;4;1;5;Trajectory seems to work opposite of what I was described. The blue was supposed to be aimed in a direction that was confident. The pink/red was supposed to be in a less confident direction. The blue is aimed in directions that do not always make sense and the pink is usually going in a way that makes a bit more sense, at least somewhat staying in a lane.
10;5E51FBBC31127D237D48C881;GroupE;GroupE_No;8;exploitation;09/04/2023 16:54:03;09/04/2023 16:57:11;3;3;3;3;3;1;11;0;3;0;3;5;4;;4;Still trajectory of the automated vehicle makes no sense to me. I just wish it was more clear. Maybe with a map of the area on the dashboard like a gps system that normal cars have. Just so you know where you are going beforehand.
11;5E51FBBC31127D237D48C881;GroupE;GroupE_No;9;exploitation;09/04/2023 16:57:56;09/04/2023 17:01:42;4;5;5;5;5;3;5;2;3;2;3;6;6;;5;Car is still accelerating quickly. Going fast is not a huge issue its the fact that you can see the car jerk when it starts moving after a stop.
12;5E51FBBC31127D237D48C881;GroupE;GroupE_No;10;exploitation;09/04/2023 17:02:27;09/04/2023 17:06:25;4;4;3;3;3;1;10;0;3;0;3;6;5;;5;I think without the trajectory I felt more safe. The automated car's trajectory just confuses me. Acceleration after stopping is too fast. The roundabout turn feels rigid and uncomfortable.
13;5E51FBBC31127D237D48C881;GroupE;GroupE_No;11;exploitation;09/04/2023 17:07:06;09/04/2023 17:10:19;5;5;5;5;5;4;3;3;3;2;3;7;6;1;6;N/A
14;5E51FBBC31127D237D48C881;GroupE;GroupE_No;1;;09/04/2023 17:13:23;09/04/2023 17:17:54;3;2;4;2;2;3;15;0;3;0;2;7;5;;5;I didn't see the blue bubbles above the roads anymore. I was not looking at first to be honest but by the time I noticed they were gone, I felt lost and it looked like I was on the wrong side of the road at that point. I know the car did not stop at a stop sign toward the end of the trip. I wish I could see a turn signal at any point to know which direction I was going to be headed. It was a bit more frightening than any other ride.
16;5E51FBBC31127D237D48C881;GroupE;GroupE_No;2;;09/05/2023 17:53:07;09/05/2023 18:15:22;3;2;3;3;3;2;15;1;2;2;2;4;3;;3;N/A
17;5E51FBBC31127D237D48C881;GroupE;GroupE_No;3;;09/06/2023 21:01:52;09/06/2023 21:07:35;2;2;3;2;3;2;17;1;2;1;2;2;3;;3;N/A
